node,formal,lean,latex,tptp,smtlib,py_lambda,py_cayley_table,ssa,rpn,polish,slots,json_ast,ascii_tree,graphviz,natural_language,word_problem,text,text2,confusable_vars
1611,x = (y ◇ z) ◇ (w ◇ (y ◇ w)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ z) ◇ (w ◇ (y ◇ w))",x = (y \diamond z) \diamond (w \diamond (y \diamond w)),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,Z),op(W,op(Y,W)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y z) (op w (op y w))))))","lambda op, x, y, z, w: x == op(op(y, z), op(w, op(y, w)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[y][w]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = y ◇ z
t2 = y ◇ w
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w y w ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ y w,"[1, [[2, 3], [4, [2, 4]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""y"", ""w""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── y
            └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""y""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The identity states that a single variable x is equal to the operation applied to two expressions. The first expression is the operation applied to y and z. The second expression is the operation applied to w and the operation applied to y and w. The entire right-hand side is the operation applied to the first expression and the second expression. The variables involved are x, y, z, and w, with x appearing once on the left, y appearing twice, z once, and w appearing twice. The operation is grouped such that the first part is y and z, and the second part is w and the operation between y and w, which is then combined with the first part via the operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding y to w.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket y diamond w close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of y and w,l = (I ◇ ll) ◇ (lI ◇ (I ◇ lI))
1612,x = (y ◇ z) ◇ (w ◇ (y ◇ u)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w u : G, x = (y ◇ z) ◇ (w ◇ (y ◇ u))",x = (y \diamond z) \diamond (w \diamond (y \diamond u)),"fof(law, axiom, ![X,Y,Z,W,U] : X = op(op(Y,Z),op(W,op(Y,U)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M) (u M))
  (= x (op (op y z) (op w (op y u))))))","lambda op, x, y, z, w, u: x == op(op(y, z), op(w, op(y, u)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[y][u]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n) for u in range(n))
","t1 = y ◇ z
t2 = y ◇ u
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w y u ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ y u,"[1, [[2, 3], [4, [2, 5]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""y"", ""u""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── y
            └── u","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""y""];
  n11 [label=""u""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The equation equates a single variable x to a combination of other variables. The right-hand side consists of two parts joined by an operation. The first part is formed by combining two variables, the second part is formed by combining another variable with a nested combination of two variables. The nested combination within the second part involves the same variable that appears in the first part. The variables involved are x, y, z, w, and u, with y appearing twice, and each of the other variables once. The structure is such that the first part is an operation between y and z, the second part is an operation between w and an operation between y and u, and the entire right-hand side is an operation between the first part and the second part.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z, w and u, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding y to u.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket y diamond u close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of y and u,l = (I ◇ ll) ◇ (lI ◇ (I ◇ Il))
1614,x = (y ◇ z) ◇ (w ◇ (z ◇ y)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ z) ◇ (w ◇ (z ◇ y))",x = (y \diamond z) \diamond (w \diamond (z \diamond y)),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,Z),op(W,op(Z,Y)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y z) (op w (op z y))))))","lambda op, x, y, z, w: x == op(op(y, z), op(w, op(z, y)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[z][y]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = y ◇ z
t2 = z ◇ y
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w z y ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ z y,"[1, [[2, 3], [4, [3, 2]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""z"", ""y""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── z
            └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""z""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The variable x is equal to the result of applying the operation to two expressions. The first expression is the operation applied to the variables y and z. The second expression is the operation applied to the variable w and the result of applying the operation to the variables z and y. The operation is applied to these two expressions, with the first expression containing y and z once each and the second expression containing w once, z once, and y once. The variable x appears once on the left side, while the variables y, z, and w appear a total of four times on the right side, with y and z each appearing twice and w appearing once.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding z to y.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket z diamond y close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of z and y,l = (I ◇ ll) ◇ (lI ◇ (ll ◇ I))
1618,x = (y ◇ z) ◇ (w ◇ (w ◇ x)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (y ◇ z) ◇ (w ◇ (w ◇ x))",x = (y \diamond z) \diamond (w \diamond (w \diamond x)),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(Y,Z),op(W,op(W,X)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op y z) (op w (op w x))))))","lambda op, x, y, z, w: x == op(op(y, z), op(w, op(w, x)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[w][x]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = y ◇ z
t2 = w ◇ x
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w w x ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ w x,"[1, [[2, 3], [4, [4, 1]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""w"", ""x""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── w
            └── x","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""w""];
  n11 [label=""x""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The identity states that a single variable x is equal to an operation between two groups. The first group is the operation applied to variables y and z. The second group is the operation applied to variable w and another operation applied to variables w and x. The entire expression is the operation applied to the first group and the second group. The variables involved are x, y, z, and w, with x appearing once, y once, z once, and w three times.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding w to x.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket w diamond x close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of w and x,l = (I ◇ ll) ◇ (lI ◇ (lI ◇ l))
1622,x = (y ◇ z) ◇ (w ◇ (w ◇ u)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w u : G, x = (y ◇ z) ◇ (w ◇ (w ◇ u))",x = (y \diamond z) \diamond (w \diamond (w \diamond u)),"fof(law, axiom, ![X,Y,Z,W,U] : X = op(op(Y,Z),op(W,op(W,U)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M) (u M))
  (= x (op (op y z) (op w (op w u))))))","lambda op, x, y, z, w, u: x == op(op(y, z), op(w, op(w, u)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[w][u]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n) for u in range(n))
","t1 = y ◇ z
t2 = w ◇ u
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w w u ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ w u,"[1, [[2, 3], [4, [4, 5]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""w"", ""u""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── w
            └── u","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""w""];
  n11 [label=""u""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The expression equates a single variable x to a combination of other variables. The right-hand side consists of two parts joined by the operation. The first part is the operation applied to variables y and z. The second part is the operation applied to variable w and another combination of variables. That other combination is the operation applied to variable w and a third combination of variables. The third combination is the operation applied to variable w and variable u. Each occurrence of the operation is explicitly nested within the previous one, with variables y, z, w, and u appearing once each, and variable w appearing an additional time in the nested structure.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z, w and u, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding w to u.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket w diamond u close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of w and u,l = (I ◇ ll) ◇ (lI ◇ (lI ◇ Il))
1624,x = (y ◇ z) ◇ (w ◇ (u ◇ y)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w u : G, x = (y ◇ z) ◇ (w ◇ (u ◇ y))",x = (y \diamond z) \diamond (w \diamond (u \diamond y)),"fof(law, axiom, ![X,Y,Z,W,U] : X = op(op(Y,Z),op(W,op(U,Y)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M) (u M))
  (= x (op (op y z) (op w (op u y))))))","lambda op, x, y, z, w, u: x == op(op(y, z), op(w, op(u, y)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[u][y]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n) for u in range(n))
","t1 = y ◇ z
t2 = u ◇ y
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w u y ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ u y,"[1, [[2, 3], [4, [5, 2]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""u"", ""y""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── u
            └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""u""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The expression equates a single variable x to a combination of four other variables through repeated application of a binary operation. The operation is applied between two grouped terms: the first term is the operation between y and z, and the second term is the operation between w and another grouped term. That inner grouped term is the operation between w and a further grouped term, which is the operation between u and y. The entire structure consists of the operation applied between the first group (y and z) and the second group (w and the inner group of u and y), with x being the result of this final operation. The variables involved are x, y, z, w, and u, with y appearing twice, and the other variables appearing once each.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z, w and u, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding u to y.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket u diamond y close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of u and y,l = (I ◇ ll) ◇ (lI ◇ (Il ◇ I))
1628,x = (y ◇ z) ◇ (w ◇ (u ◇ v)),"example (G : Type u) [Magma G] : Prop := ∀ x y z w u v : G, x = (y ◇ z) ◇ (w ◇ (u ◇ v))",x = (y \diamond z) \diamond (w \diamond (u \diamond v)),"fof(law, axiom, ![X,Y,Z,W,U,V] : X = op(op(Y,Z),op(W,op(U,V)))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M) (u M) (v M))
  (= x (op (op y z) (op w (op u v))))))","lambda op, x, y, z, w, u, v: x == op(op(y, z), op(w, op(u, v)))","def law(table):
    n = len(table)
    return all(x == table[table[y][z]][table[w][table[u][v]]] for x in range(n) for y in range(n) for z in range(n) for w in range(n) for u in range(n) for v in range(n))
","t1 = y ◇ z
t2 = u ◇ v
t3 = w ◇ t2
t4 = t1 ◇ t3
assert x = t4",x y z ◇ w u v ◇ ◇ ◇ =,= x ◇ ◇ y z ◇ w ◇ u v,"[1, [[2, 3], [4, [5, 6]]]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""z""]}, {""◇"": [""w"", {""◇"": [""u"", ""v""]}]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── z
    └── ◇
        ├── w
        └── ◇
            ├── u
            └── v","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""z""];
  n7 [label=""◇""];
  n8 [label=""w""];
  n9 [label=""◇""];
  n10 [label=""u""];
  n11 [label=""v""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n9;
  n9 -> n10;
  n9 -> n11;
}","The left side of the identity is a single variable x. The right side involves a single binary operation applied to two groups. The first group is formed by applying the operation to two variables y and z. The second group is formed by applying the operation to a third variable w and another group, which itself is formed by applying the operation to a fourth variable u and a fifth variable v. The overall structure combines these two groups using the same binary operation. All variables x, y, z, w, u, and v appear exactly once, with x on the left and the other five variables on the right. The operation is nested such that the innermost application involves u and v, followed by an application involving w and that result, then an application involving y and z, and finally an application combining the results of the first two applications.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z, w, u and v, x gives the same part as welding the part made by welding y to z to the part made by welding w to the part made by welding u to v.",x equals open bracket y diamond z close bracket diamond open bracket w diamond open bracket u diamond v close bracket close bracket,x equals the diamond of the diamond of y and z and the diamond of w and the diamond of u and v,l = (I ◇ ll) ◇ (lI ◇ (Il ◇ II))
1630,x = (x ◇ x) ◇ ((x ◇ x) ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = (x ◇ x) ◇ ((x ◇ x) ◇ y)",x = (x \diamond x) \diamond ((x \diamond x) \diamond y),"fof(law, axiom, ![X,Y] : X = op(op(X,X),op(op(X,X),Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op (op x x) (op (op x x) y)))))","lambda op, x, y: x == op(op(x, x), op(op(x, x), y))","def law(table):
    n = len(table)
    return all(x == table[table[x][x]][table[table[x][x]][y]] for x in range(n) for y in range(n))
","t1 = x ◇ x
t2 = x ◇ x
t3 = t2 ◇ y
t4 = t1 ◇ t3
assert x = t4",x x x ◇ x x ◇ y ◇ ◇ =,= x ◇ ◇ x x ◇ ◇ x x y,"[1, [[1, 1], [[1, 1], 2]]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""x""]}, {""◇"": [{""◇"": [""x"", ""x""]}, ""y""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── x
    └── ◇
        ├── ◇
        │   ├── x
        │   └── x
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""x""];
  n7 [label=""◇""];
  n8 [label=""◇""];
  n9 [label=""x""];
  n10 [label=""x""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n11;
  n8 -> n9;
  n8 -> n10;
}","The identity involves a single binary operation applied to variables x and y. The left side is the variable x. The right side is the operation applied to two parts: the first part is the operation applied to x and x, and the second part is the operation applied to the result of the operation on x and x and the variable y. The operation is structured such that the first occurrence of the operation on x and x is combined with the result of another operation that takes the same operation on x and x and combines it with y. The variable x appears four times in total, twice in each of two instances of the operation on x and x, and the variable y appears once.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding the part made by welding x to x to the part made by welding the part made by welding x to x to y.",x equals open bracket x diamond x close bracket diamond open bracket open bracket x diamond x close bracket diamond y close bracket,x equals the diamond of the diamond of x and x and the diamond of the diamond of x and x and y,l = (l ◇ l) ◇ ((l ◇ l) ◇ I)
1635,x = (x ◇ x) ◇ ((y ◇ x) ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = (x ◇ x) ◇ ((y ◇ x) ◇ y)",x = (x \diamond x) \diamond ((y \diamond x) \diamond y),"fof(law, axiom, ![X,Y] : X = op(op(X,X),op(op(Y,X),Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op (op x x) (op (op y x) y)))))","lambda op, x, y: x == op(op(x, x), op(op(y, x), y))","def law(table):
    n = len(table)
    return all(x == table[table[x][x]][table[table[y][x]][y]] for x in range(n) for y in range(n))
","t1 = x ◇ x
t2 = y ◇ x
t3 = t2 ◇ y
t4 = t1 ◇ t3
assert x = t4",x x x ◇ y x ◇ y ◇ ◇ =,= x ◇ ◇ x x ◇ ◇ y x y,"[1, [[1, 1], [[2, 1], 2]]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""x""]}, {""◇"": [{""◇"": [""y"", ""x""]}, ""y""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── x
    └── ◇
        ├── ◇
        │   ├── y
        │   └── x
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""x""];
  n7 [label=""◇""];
  n8 [label=""◇""];
  n9 [label=""y""];
  n10 [label=""x""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n11;
  n8 -> n9;
  n8 -> n10;
}","The identity involves a single binary operation applied to variables x and y. On the left side, the value x is equal to the result of applying the operation to two expressions. The first expression is the operation applied to x and x. The second expression is the operation applied to the result of the operation applied to y and x, and then that result with y. The variables x and y each appear multiple times, with x occurring three times and y occurring twice, distributed across the operation groupings as described.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding the part made by welding x to x to the part made by welding the part made by welding y to x to y.",x equals open bracket x diamond x close bracket diamond open bracket open bracket y diamond x close bracket diamond y close bracket,x equals the diamond of the diamond of x and x and the diamond of the diamond of y and x and y,l = (l ◇ l) ◇ ((I ◇ l) ◇ I)
1641,x = (x ◇ x) ◇ ((y ◇ z) ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (x ◇ x) ◇ ((y ◇ z) ◇ y)",x = (x \diamond x) \diamond ((y \diamond z) \diamond y),"fof(law, axiom, ![X,Y,Z] : X = op(op(X,X),op(op(Y,Z),Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op x x) (op (op y z) y)))))","lambda op, x, y, z: x == op(op(x, x), op(op(y, z), y))","def law(table):
    n = len(table)
    return all(x == table[table[x][x]][table[table[y][z]][y]] for x in range(n) for y in range(n) for z in range(n))
","t1 = x ◇ x
t2 = y ◇ z
t3 = t2 ◇ y
t4 = t1 ◇ t3
assert x = t4",x x x ◇ y z ◇ y ◇ ◇ =,= x ◇ ◇ x x ◇ ◇ y z y,"[1, [[1, 1], [[2, 3], 2]]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""x""]}, {""◇"": [{""◇"": [""y"", ""z""]}, ""y""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── x
    └── ◇
        ├── ◇
        │   ├── y
        │   └── z
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""x""];
  n7 [label=""◇""];
  n8 [label=""◇""];
  n9 [label=""y""];
  n10 [label=""z""];
  n11 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n11;
  n8 -> n9;
  n8 -> n10;
}","A variable x is equal to the result of applying the operation to two expressions. The first expression is the operation applied to x and x. The second expression is the operation applied to the result of the operation on y and z and then the operation on that result and y. The variables involved are x, y, and z, with x appearing twice, y appearing twice, and z appearing once. The operation is nested such that the second expression involves the operation on y and z first, followed by the operation on that result and y. The entire structure combines these two expressions through the operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding x to x to the part made by welding the part made by welding y to z to y.",x equals open bracket x diamond x close bracket diamond open bracket open bracket y diamond z close bracket diamond y close bracket,x equals the diamond of the diamond of x and x and the diamond of the diamond of y and z and y,l = (l ◇ l) ◇ ((I ◇ ll) ◇ I)
1643,x = (x ◇ x) ◇ ((y ◇ z) ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = (x ◇ x) ◇ ((y ◇ z) ◇ w)",x = (x \diamond x) \diamond ((y \diamond z) \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(op(X,X),op(op(Y,Z),W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op (op x x) (op (op y z) w)))))","lambda op, x, y, z, w: x == op(op(x, x), op(op(y, z), w))","def law(table):
    n = len(table)
    return all(x == table[table[x][x]][table[table[y][z]][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ x
t2 = y ◇ z
t3 = t2 ◇ w
t4 = t1 ◇ t3
assert x = t4",x x x ◇ y z ◇ w ◇ ◇ =,= x ◇ ◇ x x ◇ ◇ y z w,"[1, [[1, 1], [[2, 3], 4]]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""x""]}, {""◇"": [{""◇"": [""y"", ""z""]}, ""w""]}]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── x
    └── ◇
        ├── ◇
        │   ├── y
        │   └── z
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""x""];
  n7 [label=""◇""];
  n8 [label=""◇""];
  n9 [label=""y""];
  n10 [label=""z""];
  n11 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
  n7 -> n8;
  n7 -> n11;
  n8 -> n9;
  n8 -> n10;
}","A single variable x is equal to the result of applying the operation to two expressions. The first expression is the same variable x combined with itself. The second expression is formed by first combining two other variables y and z, then combining that result with a fourth variable w. The entire identity is constructed by combining these two expressions using the operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding the part made by welding x to x to the part made by welding the part made by welding y to z to w.",x equals open bracket x diamond x close bracket diamond open bracket open bracket y diamond z close bracket diamond w close bracket,x equals the diamond of the diamond of x and x and the diamond of the diamond of y and z and w,l = (l ◇ l) ◇ ((I ◇ ll) ◇ lI)
