pair_id,node_a,node_b,relation,forward_a_implies_b,backward_b_implies_a,formal_a,formal_b,split_42,split_7,split_123,split_99,split_256
27,933,178,equivalent,True,True,x = y ◇ ((y ◇ z) ◇ (y ◇ w)),x = (y ◇ y) ◇ (x ◇ z),train,excluded,excluded,test,excluded
28,3887,3981,stronger,False,True,x ◇ x = (y ◇ (y ◇ x)) ◇ x,x ◇ y = (y ◇ (z ◇ z)) ◇ z,excluded,excluded,train,excluded,test
29,381,4496,incomparable,False,False,x ◇ y = (x ◇ z) ◇ y,x ◇ (y ◇ y) = (z ◇ y) ◇ w,excluded,excluded,train,excluded,excluded
30,2122,4614,weaker,True,False,x = ((y ◇ x) ◇ z) ◇ (w ◇ w),(x ◇ x) ◇ y = (z ◇ x) ◇ x,excluded,excluded,train,train,test
31,3303,2575,incomparable,False,False,x ◇ x = y ◇ (z ◇ (w ◇ w)),x = (y ◇ ((z ◇ x) ◇ z)) ◇ x,test,train,excluded,excluded,excluded
32,941,4525,weaker,True,False,x = y ◇ ((y ◇ z) ◇ (w ◇ w)),x ◇ (y ◇ z) = (y ◇ x) ◇ z,excluded,train,train,excluded,excluded
33,503,3165,stronger,False,True,x = y ◇ (y ◇ (x ◇ (y ◇ x))),x = (((y ◇ y) ◇ z) ◇ y) ◇ z,train,train,excluded,excluded,train
34,3575,568,stronger,False,True,x ◇ y = y ◇ ((z ◇ z) ◇ z),x = y ◇ (z ◇ (y ◇ (w ◇ z))),excluded,train,test,test,excluded
35,515,4548,weaker,True,False,x = y ◇ (y ◇ (y ◇ (y ◇ z))),x ◇ (y ◇ z) = (z ◇ z) ◇ x,train,train,excluded,train,train
36,101,1957,stronger,False,True,x = x ◇ ((x ◇ y) ◇ x),x = (y ◇ (y ◇ z)) ◇ (w ◇ u),train,train,train,excluded,train
37,2032,2955,equivalent,True,True,x = (y ◇ (z ◇ w)) ◇ (u ◇ w),x = ((y ◇ (y ◇ y)) ◇ z) ◇ w,train,excluded,train,train,test
38,4328,2626,stronger,False,True,x ◇ (y ◇ x) = z ◇ (x ◇ y),x = (y ◇ ((z ◇ w) ◇ y)) ◇ w,train,excluded,train,excluded,excluded
39,3040,1085,weaker,True,False,x = ((y ◇ (z ◇ w)) ◇ w) ◇ y,x = y ◇ ((x ◇ (y ◇ y)) ◇ x),excluded,train,excluded,excluded,excluded
40,608,3328,incomparable,False,False,x = y ◇ (z ◇ (w ◇ (u ◇ x))),x ◇ y = x ◇ (z ◇ (x ◇ w)),excluded,excluded,train,excluded,excluded
41,2657,566,incomparable,False,False,x = ((x ◇ x) ◇ (y ◇ z)) ◇ z,x = y ◇ (z ◇ (y ◇ (w ◇ x))),train,excluded,test,excluded,train
42,1132,3107,equivalent,True,True,x = y ◇ ((y ◇ (z ◇ x)) ◇ w),x = (((y ◇ x) ◇ x) ◇ y) ◇ z,excluded,excluded,train,train,train
43,4661,932,stronger,False,True,(x ◇ y) ◇ y = (y ◇ z) ◇ z,x = y ◇ ((y ◇ z) ◇ (y ◇ z)),excluded,train,excluded,train,train
44,2977,416,weaker,True,False,x = ((y ◇ (z ◇ x)) ◇ y) ◇ x,x = x ◇ (x ◇ (y ◇ (x ◇ x))),train,excluded,train,excluded,test
45,3973,3692,incomparable,False,False,x ◇ y = (y ◇ (z ◇ x)) ◇ z,x ◇ x = (y ◇ y) ◇ (z ◇ z),train,excluded,train,excluded,excluded
46,1316,3851,incomparable,False,False,x = y ◇ (((y ◇ x) ◇ y) ◇ y),x ◇ y = (z ◇ w) ◇ (w ◇ x),excluded,excluded,excluded,excluded,excluded
47,3349,2778,incomparable,False,False,x ◇ y = y ◇ (x ◇ (z ◇ y)),x = ((y ◇ z) ◇ (x ◇ z)) ◇ x,train,train,train,excluded,train
48,2954,935,equivalent,True,True,x = ((y ◇ (y ◇ y)) ◇ z) ◇ z,x = y ◇ ((y ◇ z) ◇ (z ◇ y)),train,excluded,train,train,train
49,2638,621,incomparable,False,False,x = (y ◇ ((z ◇ w) ◇ u)) ◇ x,x = x ◇ (x ◇ ((y ◇ x) ◇ z)),test,train,excluded,train,excluded
50,1628,1169,equivalent,True,True,x = (y ◇ z) ◇ (w ◇ (u ◇ v)),x = y ◇ ((z ◇ (y ◇ y)) ◇ z),test,excluded,excluded,excluded,train
51,299,2089,weaker,True,False,x = ((y ◇ z) ◇ z) ◇ y,x = ((y ◇ x) ◇ x) ◇ (x ◇ z),excluded,train,excluded,train,excluded
52,1161,2846,equivalent,True,True,x = y ◇ ((z ◇ (x ◇ w)) ◇ w),x = ((y ◇ z) ◇ (w ◇ u)) ◇ v,excluded,excluded,train,train,train
53,262,3600,incomparable,False,False,x = ((x ◇ y) ◇ x) ◇ z,x ◇ y = z ◇ ((y ◇ x) ◇ y),train,excluded,train,train,excluded
54,4427,652,incomparable,False,False,x ◇ (x ◇ y) = (z ◇ w) ◇ x,x = x ◇ (y ◇ ((z ◇ x) ◇ w)),excluded,excluded,test,excluded,train
55,2729,2644,weaker,True,False,x = ((y ◇ x) ◇ (z ◇ w)) ◇ y,x = ((x ◇ x) ◇ (x ◇ x)) ◇ x,test,train,train,excluded,excluded
56,4682,1415,stronger,False,True,(x ◇ y) ◇ z = (y ◇ w) ◇ z,x = y ◇ (((z ◇ w) ◇ w) ◇ x),train,train,train,excluded,excluded
57,1069,448,equivalent,True,True,x = x ◇ ((y ◇ (z ◇ w)) ◇ z),x = x ◇ (y ◇ (z ◇ (x ◇ z))),train,train,train,train,excluded
58,3127,3072,weaker,True,False,x = (((y ◇ x) ◇ z) ◇ y) ◇ y,x = (((x ◇ y) ◇ x) ◇ z) ◇ y,train,test,excluded,train,excluded
59,2195,2306,incomparable,False,False,x = ((y ◇ z) ◇ z) ◇ (x ◇ x),x = (y ◇ (x ◇ (y ◇ z))) ◇ x,train,train,excluded,excluded,train
60,4604,1480,incomparable,False,False,(x ◇ x) ◇ y = (x ◇ z) ◇ w,x = (y ◇ x) ◇ (x ◇ (x ◇ z)),excluded,train,train,excluded,excluded
61,3773,912,incomparable,False,False,x ◇ y = (y ◇ z) ◇ (y ◇ y),x = y ◇ ((y ◇ x) ◇ (z ◇ x)),excluded,excluded,excluded,test,excluded
62,3518,116,stronger,False,True,x ◇ y = x ◇ ((y ◇ x) ◇ x),x = y ◇ ((x ◇ x) ◇ z),excluded,test,excluded,excluded,train
63,3040,1121,equivalent,True,True,x = ((y ◇ (z ◇ w)) ◇ w) ◇ y,x = y ◇ ((y ◇ (y ◇ x)) ◇ z),train,excluded,train,excluded,train
64,4590,3889,stronger,False,True,(x ◇ x) ◇ x = (y ◇ y) ◇ x,x ◇ x = (y ◇ (y ◇ x)) ◇ z,test,excluded,train,excluded,excluded
65,896,4089,weaker,True,False,x = y ◇ ((x ◇ z) ◇ (y ◇ w)),x ◇ x = ((y ◇ x) ◇ z) ◇ w,excluded,excluded,train,test,train
66,4594,1805,stronger,False,True,(x ◇ x) ◇ x = (y ◇ z) ◇ y,x = (y ◇ z) ◇ ((z ◇ w) ◇ u),excluded,train,train,excluded,train
67,4303,4352,stronger,False,True,x ◇ (x ◇ y) = z ◇ (y ◇ x),x ◇ (y ◇ y) = z ◇ (y ◇ w),train,test,train,excluded,train
68,4241,1080,stronger,False,True,x ◇ y = ((z ◇ z) ◇ w) ◇ u,x = y ◇ ((x ◇ (x ◇ z)) ◇ z),train,train,train,train,train
69,3469,595,stronger,False,True,x ◇ x = x ◇ ((y ◇ z) ◇ z),x = y ◇ (z ◇ (w ◇ (y ◇ z))),train,train,train,train,excluded
70,3988,4506,weaker,True,False,x ◇ y = (z ◇ (x ◇ x)) ◇ x,x ◇ (y ◇ z) = (x ◇ x) ◇ x,train,train,excluded,train,excluded
71,1286,1391,incomparable,False,False,x = y ◇ (((x ◇ y) ◇ x) ◇ y),x = y ◇ (((z ◇ z) ◇ z) ◇ x),train,excluded,excluded,excluded,train
72,4221,2508,stronger,False,True,x ◇ y = ((z ◇ y) ◇ w) ◇ y,x = (y ◇ ((x ◇ y) ◇ y)) ◇ z,excluded,train,excluded,excluded,train
73,256,2658,equivalent,True,True,x = ((x ◇ x) ◇ x) ◇ y,x = ((x ◇ x) ◇ (y ◇ z)) ◇ w,excluded,test,train,excluded,train
74,981,3472,incomparable,False,False,x = y ◇ ((z ◇ z) ◇ (y ◇ x)),x ◇ x = y ◇ ((x ◇ x) ◇ y),test,excluded,excluded,train,train
75,2395,4506,weaker,True,False,x = (y ◇ (z ◇ (y ◇ w))) ◇ z,x ◇ (y ◇ z) = (x ◇ x) ◇ x,train,train,excluded,train,excluded
76,890,3650,weaker,True,False,x = y ◇ ((x ◇ z) ◇ (x ◇ y)),x ◇ y = z ◇ ((w ◇ w) ◇ z),excluded,train,excluded,excluded,excluded
77,3796,1849,incomparable,False,False,x ◇ y = (z ◇ x) ◇ (z ◇ w),x = (x ◇ (y ◇ x)) ◇ (x ◇ z),excluded,train,test,train,excluded
78,642,434,incomparable,False,False,x = x ◇ (y ◇ ((y ◇ y) ◇ x)),x = x ◇ (y ◇ (x ◇ (z ◇ z))),excluded,excluded,excluded,train,train
79,2777,4532,weaker,True,False,x = ((y ◇ z) ◇ (x ◇ y)) ◇ w,x ◇ (y ◇ z) = (y ◇ z) ◇ y,excluded,excluded,train,excluded,train
80,629,49,incomparable,False,False,x = x ◇ (y ◇ ((x ◇ x) ◇ x)),x = x ◇ (x ◇ (y ◇ x)),excluded,train,train,train,test
81,3889,1184,incomparable,False,False,x ◇ x = (y ◇ (y ◇ x)) ◇ z,x = y ◇ ((z ◇ (z ◇ y)) ◇ x),excluded,excluded,train,excluded,excluded
82,2824,376,weaker,True,False,x = ((y ◇ z) ◇ (w ◇ x)) ◇ w,x ◇ y = (x ◇ x) ◇ z,train,train,excluded,excluded,excluded
83,4157,1869,incomparable,False,False,x ◇ y = ((y ◇ x) ◇ y) ◇ x,x = (x ◇ (y ◇ z)) ◇ (x ◇ z),train,train,excluded,excluded,excluded
84,1303,2816,stronger,False,True,x = y ◇ (((x ◇ z) ◇ z) ◇ x),x = ((y ◇ z) ◇ (z ◇ w)) ◇ x,excluded,excluded,excluded,train,test
85,435,1883,weaker,True,False,x = x ◇ (y ◇ (x ◇ (z ◇ w))),x = (x ◇ (y ◇ z)) ◇ (w ◇ u),train,train,train,excluded,train
86,3011,3469,incomparable,False,False,x = ((y ◇ (z ◇ z)) ◇ y) ◇ x,x ◇ x = x ◇ ((y ◇ z) ◇ z),excluded,train,excluded,excluded,test
87,2014,3318,incomparable,False,False,x = (y ◇ (z ◇ w)) ◇ (y ◇ x),x ◇ y = x ◇ (y ◇ (y ◇ x)),excluded,excluded,train,train,train
88,799,1101,weaker,True,False,x = y ◇ (z ◇ ((w ◇ y) ◇ w)),x = y ◇ ((x ◇ (z ◇ z)) ◇ y),excluded,train,excluded,train,excluded
89,3608,3858,stronger,False,True,x ◇ y = z ◇ ((y ◇ z) ◇ y),x ◇ y = (z ◇ w) ◇ (u ◇ z),train,train,test,excluded,test
90,3982,1316,incomparable,False,False,x ◇ y = (y ◇ (z ◇ z)) ◇ w,x = y ◇ (((y ◇ x) ◇ y) ◇ y),train,excluded,train,train,train
91,4351,3811,stronger,False,True,x ◇ (y ◇ y) = z ◇ (y ◇ y),x ◇ y = (z ◇ y) ◇ (z ◇ y),test,excluded,excluded,train,excluded
92,859,65,incomparable,False,False,x = x ◇ ((y ◇ z) ◇ (y ◇ w)),x = y ◇ (x ◇ (y ◇ x)),excluded,train,excluded,excluded,excluded
93,4033,2612,stronger,False,True,x ◇ y = (z ◇ (z ◇ z)) ◇ w,x = (y ◇ ((z ◇ z) ◇ z)) ◇ w,train,excluded,excluded,train,excluded
94,3084,4004,incomparable,False,False,x = (((x ◇ y) ◇ y) ◇ z) ◇ w,x ◇ y = (z ◇ (x ◇ w)) ◇ u,excluded,train,train,train,excluded
95,1503,1668,weaker,True,False,x = (y ◇ x) ◇ (z ◇ (y ◇ y)),x = (x ◇ y) ◇ ((z ◇ y) ◇ x),train,excluded,train,train,train
96,267,2954,stronger,False,True,x = ((x ◇ y) ◇ z) ◇ y,x = ((y ◇ (y ◇ y)) ◇ z) ◇ z,excluded,test,train,excluded,excluded
97,1569,2219,stronger,False,True,x = (y ◇ z) ◇ (y ◇ (x ◇ x)),x = ((y ◇ z) ◇ w) ◇ (y ◇ z),train,excluded,train,train,train
98,3839,2325,stronger,False,True,x ◇ y = (z ◇ w) ◇ (x ◇ w),x = (y ◇ (x ◇ (z ◇ w))) ◇ w,train,train,excluded,train,excluded
99,1861,2144,incomparable,False,False,x = (x ◇ (y ◇ y)) ◇ (y ◇ y),x = ((y ◇ y) ◇ z) ◇ (x ◇ x),train,excluded,excluded,train,train
100,3094,3870,incomparable,False,False,x = (((x ◇ y) ◇ z) ◇ z) ◇ y,x ◇ x = (x ◇ (y ◇ y)) ◇ x,train,train,train,train,train
101,3356,2859,incomparable,False,False,x ◇ y = y ◇ (y ◇ (y ◇ y)),x = ((x ◇ (x ◇ y)) ◇ z) ◇ y,train,excluded,excluded,train,excluded
102,956,2824,equivalent,True,True,x = y ◇ ((z ◇ x) ◇ (w ◇ y)),x = ((y ◇ z) ◇ (w ◇ x)) ◇ w,train,train,train,excluded,train
103,2593,2933,equivalent,True,True,x = (y ◇ ((z ◇ y) ◇ z)) ◇ y,x = ((y ◇ (x ◇ z)) ◇ w) ◇ z,excluded,train,train,excluded,train
104,1169,449,weaker,True,False,x = y ◇ ((z ◇ (y ◇ y)) ◇ z),x = x ◇ (y ◇ (z ◇ (x ◇ w))),excluded,excluded,excluded,excluded,train
105,717,2325,equivalent,True,True,x = y ◇ (y ◇ ((y ◇ y) ◇ y)),x = (y ◇ (x ◇ (z ◇ w))) ◇ w,train,train,test,excluded,test
106,3189,2608,equivalent,True,True,x = (((y ◇ z) ◇ x) ◇ w) ◇ y,x = (y ◇ ((z ◇ z) ◇ y)) ◇ w,excluded,train,excluded,train,train
107,1837,2104,stronger,False,True,x = (x ◇ (x ◇ y)) ◇ (x ◇ x),x = ((y ◇ x) ◇ y) ◇ (z ◇ y),train,excluded,excluded,train,excluded
108,4262,2626,stronger,False,True,x ◇ y = ((z ◇ w) ◇ u) ◇ x,x = (y ◇ ((z ◇ w) ◇ y)) ◇ w,train,test,excluded,test,excluded
109,3359,569,stronger,False,True,x ◇ y = y ◇ (y ◇ (z ◇ y)),x = y ◇ (z ◇ (y ◇ (w ◇ w))),excluded,train,excluded,train,train
110,2383,3715,incomparable,False,False,x = (y ◇ (z ◇ (y ◇ x))) ◇ z,x ◇ y = (x ◇ x) ◇ (y ◇ y),train,train,train,train,train
111,1391,221,incomparable,False,False,x = y ◇ (((z ◇ z) ◇ z) ◇ x),x = (y ◇ (x ◇ y)) ◇ x,train,excluded,test,test,train
112,3175,978,weaker,True,False,x = (((y ◇ y) ◇ z) ◇ w) ◇ u,x = y ◇ ((z ◇ z) ◇ (x ◇ y)),excluded,excluded,excluded,excluded,excluded
113,1266,496,stronger,False,True,x = x ◇ (((y ◇ z) ◇ z) ◇ x),x = y ◇ (x ◇ (z ◇ (w ◇ y))),train,train,train,train,excluded
114,3667,4619,incomparable,False,False,x ◇ x = (x ◇ y) ◇ (y ◇ x),(x ◇ x) ◇ y = (z ◇ y) ◇ y,excluded,train,excluded,train,train
115,3156,678,equivalent,True,True,x = (((y ◇ y) ◇ y) ◇ z) ◇ y,x = y ◇ (x ◇ ((y ◇ x) ◇ z)),test,train,train,train,excluded
116,1963,2697,weaker,True,False,x = (y ◇ (z ◇ x)) ◇ (y ◇ y),x = ((y ◇ x) ◇ (x ◇ x)) ◇ y,train,train,excluded,train,train
117,1895,2123,stronger,False,True,x = (y ◇ (x ◇ y)) ◇ (x ◇ y),x = ((y ◇ x) ◇ z) ◇ (w ◇ u),excluded,train,train,excluded,excluded
118,2724,3582,incomparable,False,False,x = ((y ◇ x) ◇ (z ◇ z)) ◇ x,x ◇ y = z ◇ ((x ◇ x) ◇ x),excluded,train,test,test,train
119,2015,3389,weaker,True,False,x = (y ◇ (z ◇ w)) ◇ (y ◇ y),x ◇ y = z ◇ (x ◇ (z ◇ z)),excluded,train,test,train,excluded
120,4028,2293,incomparable,False,False,x ◇ y = (z ◇ (z ◇ y)) ◇ z,x = (y ◇ (x ◇ (x ◇ y))) ◇ x,excluded,train,train,train,test
121,1804,3230,equivalent,True,True,x = (y ◇ z) ◇ ((z ◇ w) ◇ w),x = (((y ◇ z) ◇ w) ◇ x) ◇ w,excluded,excluded,train,train,train
122,3839,978,incomparable,False,False,x ◇ y = (z ◇ w) ◇ (x ◇ w),x = y ◇ ((z ◇ z) ◇ (x ◇ y)),excluded,train,train,train,train
123,2465,2071,incomparable,False,False,x = (x ◇ ((y ◇ x) ◇ z)) ◇ w,x = ((x ◇ y) ◇ z) ◇ (x ◇ y),train,train,excluded,train,train
124,2195,864,incomparable,False,False,x = ((y ◇ z) ◇ z) ◇ (x ◇ x),x = x ◇ ((y ◇ z) ◇ (w ◇ x)),train,train,excluded,train,train
125,162,425,incomparable,False,False,x = (x ◇ y) ◇ (z ◇ x),x = x ◇ (x ◇ (y ◇ (z ◇ w))),train,excluded,test,train,train
126,2780,1522,equivalent,True,True,x = ((y ◇ z) ◇ (x ◇ z)) ◇ z,x = (y ◇ y) ◇ (x ◇ (z ◇ y)),excluded,excluded,excluded,train,train
127,1784,3195,incomparable,False,False,x = (y ◇ z) ◇ ((y ◇ w) ◇ x),x = (((y ◇ z) ◇ y) ◇ x) ◇ z,excluded,excluded,train,train,excluded
128,4634,1949,incomparable,False,False,(x ◇ y) ◇ x = (x ◇ z) ◇ w,x = (y ◇ (y ◇ z)) ◇ (z ◇ x),train,train,train,excluded,train
129,1080,3930,weaker,True,False,x = y ◇ ((x ◇ (x ◇ z)) ◇ z),x ◇ y = (x ◇ (y ◇ z)) ◇ x,excluded,train,excluded,train,excluded
130,1083,3462,incomparable,False,False,x = y ◇ ((x ◇ (y ◇ x)) ◇ y),x ◇ x = x ◇ ((y ◇ x) ◇ y),excluded,train,train,train,excluded
131,2409,2777,equivalent,True,True,x = (y ◇ (z ◇ (z ◇ z))) ◇ w,x = ((y ◇ z) ◇ (x ◇ y)) ◇ w,train,test,excluded,excluded,train
132,4126,2265,stronger,False,True,x ◇ y = ((x ◇ x) ◇ z) ◇ w,x = (x ◇ (y ◇ (y ◇ x))) ◇ z,excluded,excluded,test,excluded,train
133,1272,3861,incomparable,False,False,x = x ◇ (((y ◇ z) ◇ w) ◇ z),x ◇ y = (z ◇ w) ◇ (u ◇ v),test,excluded,excluded,excluded,excluded
134,299,2219,equivalent,True,True,x = ((y ◇ z) ◇ z) ◇ y,x = ((y ◇ z) ◇ w) ◇ (y ◇ z),excluded,train,excluded,train,train
135,3127,709,weaker,True,False,x = (((y ◇ x) ◇ z) ◇ y) ◇ y,x = y ◇ (y ◇ ((x ◇ z) ◇ x)),train,excluded,train,train,excluded
136,3936,80,stronger,False,True,x ◇ y = (x ◇ (z ◇ x)) ◇ z,x = y ◇ (y ◇ (z ◇ z)),excluded,test,excluded,excluded,train
137,484,84,equivalent,True,True,x = y ◇ (x ◇ (z ◇ (x ◇ y))),x = y ◇ (z ◇ (x ◇ z)),excluded,test,train,test,test
138,2290,121,stronger,False,True,x = (y ◇ (x ◇ (x ◇ x))) ◇ x,x = y ◇ ((x ◇ z) ◇ y),excluded,train,train,excluded,train
139,4191,3394,equivalent,True,True,x ◇ y = ((z ◇ x) ◇ x) ◇ x,x ◇ y = z ◇ (x ◇ (w ◇ w)),test,test,excluded,train,train
140,1223,2686,incomparable,False,False,x = x ◇ (((x ◇ x) ◇ x) ◇ x),x = ((x ◇ y) ◇ (z ◇ y)) ◇ w,train,excluded,test,excluded,excluded
141,2419,1400,weaker,True,False,x = (y ◇ (z ◇ (w ◇ x))) ◇ u,x = y ◇ (((z ◇ w) ◇ x) ◇ x),train,train,excluded,excluded,excluded
142,2940,14,stronger,False,True,x = ((y ◇ (y ◇ x)) ◇ y) ◇ y,x = y ◇ (x ◇ y),excluded,test,train,excluded,train
143,4542,1610,stronger,False,True,x ◇ (y ◇ z) = (z ◇ x) ◇ z,x = (y ◇ z) ◇ (w ◇ (y ◇ z)),train,train,train,train,train
144,3779,3072,incomparable,False,False,x ◇ y = (y ◇ z) ◇ (z ◇ w),x = (((x ◇ y) ◇ x) ◇ z) ◇ y,train,test,excluded,train,excluded
145,3851,4531,weaker,True,False,x ◇ y = (z ◇ w) ◇ (w ◇ x),x ◇ (y ◇ z) = (y ◇ z) ◇ x,excluded,excluded,excluded,excluded,excluded
146,1476,4493,incomparable,False,False,x = (x ◇ y) ◇ (z ◇ (w ◇ w)),x ◇ (y ◇ y) = (z ◇ y) ◇ x,train,train,train,excluded,excluded
147,4683,1816,incomparable,False,False,(x ◇ y) ◇ z = (y ◇ w) ◇ u,x = (y ◇ z) ◇ ((w ◇ z) ◇ x),excluded,train,train,train,excluded
148,1258,3783,incomparable,False,False,x = x ◇ (((y ◇ z) ◇ x) ◇ x),x ◇ y = (y ◇ z) ◇ (w ◇ w),excluded,excluded,excluded,train,train
149,2102,65,weaker,True,False,x = ((y ◇ x) ◇ y) ◇ (y ◇ z),x = y ◇ (x ◇ (y ◇ x)),train,excluded,train,excluded,excluded
150,3521,3892,incomparable,False,False,x ◇ y = x ◇ ((y ◇ y) ◇ x),x ◇ x = (y ◇ (y ◇ y)) ◇ z,train,train,train,excluded,train
151,4431,1266,incomparable,False,False,x ◇ (x ◇ y) = (z ◇ w) ◇ u,x = x ◇ (((y ◇ z) ◇ z) ◇ x),excluded,excluded,train,train,excluded
152,449,3596,incomparable,False,False,x = x ◇ (y ◇ (z ◇ (x ◇ w))),x ◇ y = z ◇ ((x ◇ w) ◇ z),train,train,train,excluded,excluded
153,3037,4303,weaker,True,False,x = ((y ◇ (z ◇ w)) ◇ z) ◇ w,x ◇ (x ◇ y) = z ◇ (y ◇ x),train,excluded,excluded,excluded,train
154,3700,4603,incomparable,False,False,x ◇ x = (y ◇ z) ◇ (y ◇ z),(x ◇ x) ◇ y = (x ◇ z) ◇ z,test,train,train,test,train
155,3165,4051,weaker,True,False,x = (((y ◇ y) ◇ z) ◇ y) ◇ z,x ◇ y = (z ◇ (w ◇ z)) ◇ z,train,excluded,train,excluded,train
156,1839,3753,incomparable,False,False,x = (x ◇ (x ◇ y)) ◇ (x ◇ z),x ◇ y = (y ◇ x) ◇ (y ◇ z),excluded,excluded,train,train,excluded
157,574,1796,equivalent,True,True,x = y ◇ (z ◇ (z ◇ (x ◇ w))),x = (y ◇ z) ◇ ((z ◇ y) ◇ w),excluded,test,excluded,excluded,excluded
158,426,1994,stronger,False,True,x = x ◇ (y ◇ (x ◇ (x ◇ x))),x = (y ◇ (z ◇ z)) ◇ (x ◇ z),excluded,excluded,test,train,train
159,2841,421,incomparable,False,False,x = ((y ◇ z) ◇ (w ◇ u)) ◇ x,x = x ◇ (x ◇ (y ◇ (y ◇ z))),test,train,excluded,train,train
