node,split_42,split_7,split_123,split_99,split_256
575,test,test,test,train,train
576,train,train,train,train,train
578,train,train,train,test,train
585,train,train,train,test,test
586,train,train,test,train,test
588,train,test,train,test,train
589,train,train,test,train,train
595,train,train,train,train,train
599,train,train,train,train,train
602,train,train,test,train,train
606,train,test,train,train,train
608,train,train,train,test,test
611,train,test,train,test,train
612,train,train,test,test,test
619,test,train,train,train,train
621,test,train,test,train,train
623,train,train,test,train,train
624,test,train,train,test,test
629,train,train,train,train,test
632,train,train,train,train,test
642,train,train,test,train,train
645,train,train,train,train,train
652,test,test,test,train,train
653,train,test,test,train,train
654,train,train,train,train,train
661,train,test,train,train,train
664,train,train,test,test,test
665,test,test,train,train,train
666,train,train,train,train,train
668,test,test,train,train,test
669,train,test,test,test,train
673,train,test,test,test,train
676,train,train,train,train,test
678,test,train,train,train,train
679,train,train,train,train,test
695,train,train,test,train,test
702,train,train,test,test,train
703,test,train,test,train,test
705,train,test,train,train,train
707,train,train,train,train,train
709,train,train,train,train,train
717,train,train,test,test,test
720,train,train,train,train,test
729,test,train,test,train,train
786,train,train,train,train,train
787,train,test,test,train,train
788,train,train,train,train,test
792,train,train,test,test,train
795,train,test,train,train,train
796,train,train,test,train,train
798,train,train,train,test,test
799,test,train,train,train,train
804,train,train,train,train,train
807,train,train,train,train,train
810,train,train,train,train,train
811,train,test,test,test,train
812,train,train,train,train,train
813,test,train,test,train,train
815,test,test,train,train,train
820,train,train,test,train,train
826,train,train,train,train,test
839,train,train,train,train,train
840,train,train,test,test,train
842,train,test,test,train,train
843,train,test,train,train,test
844,train,train,test,train,test
850,train,test,train,test,test
854,test,train,test,train,train
859,test,train,test,train,test
860,test,train,test,train,test
861,test,train,train,train,train
864,train,train,test,train,train
867,train,train,train,test,train
870,train,train,train,test,train
871,test,train,train,test,train
875,train,test,train,train,train
882,train,test,train,train,test
885,test,train,train,test,train
887,train,train,train,test,test
888,test,test,train,train,train
890,train,train,test,train,test
896,train,test,train,test,train
904,train,train,train,test,train
912,test,test,train,test,test
915,train,train,train,test,train
919,train,train,test,train,train
921,test,train,train,train,train
924,train,test,test,train,train
932,train,train,test,train,train
933,train,train,train,test,test
934,test,test,train,train,test
935,train,train,train,train,train
936,test,train,train,test,test
941,train,train,train,test,train
943,train,train,test,test,test
946,train,train,train,test,train
948,test,train,train,train,train
956,train,train,train,train,train
960,train,train,train,train,train
961,test,train,test,train,train
964,train,train,train,train,train
978,test,train,train,train,train
980,test,train,test,train,train
981,test,test,test,train,train
983,train,train,test,test,train
986,train,train,train,train,train
987,test,train,train,train,train
989,train,train,train,train,test
990,train,train,test,train,train
992,train,train,test,train,test
993,train,train,test,train,train
994,train,test,test,train,train
996,train,test,train,test,train
998,train,train,train,test,train
1000,train,train,train,train,test
1004,test,train,train,train,train
1011,train,train,train,test,test
1019,train,train,train,train,train
1028,train,test,train,test,train
1031,test,train,test,train,train
1037,train,train,test,train,test
1040,train,test,train,test,test
1043,train,test,test,train,test
1049,train,test,train,train,test
1050,test,train,train,train,train
1061,test,test,test,test,train
1067,train,train,test,train,test
1069,train,train,train,train,train
1071,train,train,train,test,train
1079,test,test,train,train,train
1080,train,train,train,train,train
1082,train,train,train,test,train
1083,test,train,train,train,train
1085,test,train,test,train,test
1087,test,train,train,test,train
1091,train,train,train,train,test
1093,test,train,train,test,train
1094,train,test,test,train,test
1101,train,train,test,train,test
1108,train,test,test,train,train
1114,train,train,train,train,train
1115,train,train,test,train,train
1121,train,test,train,train,train
1122,train,test,train,train,train
1123,train,test,train,train,train
1126,test,train,train,train,train
1129,train,train,train,test,train
1132,train,train,train,train,train
1133,test,test,test,train,train
1135,test,train,train,train,train
1142,test,train,train,train,train
1150,test,train,test,train,train
1161,train,train,train,train,train
1169,test,test,test,test,train
1171,train,train,train,test,test
1175,test,train,train,train,train
1184,train,test,train,train,train
1194,test,train,train,train,train
1196,test,train,test,test,train
1199,train,train,test,test,test
1204,train,train,train,test,train
1213,train,train,train,train,test
1216,train,train,test,train,test
1221,train,train,test,test,train
1223,train,test,test,test,test
1224,test,test,test,train,test
1231,train,train,test,test,train
1235,test,test,train,test,train
1236,test,train,test,train,train
1243,train,train,test,train,test
1258,test,train,train,train,train
1259,train,train,train,train,test
1260,train,train,train,train,test
1264,test,train,test,train,train
1266,train,train,train,train,test
1268,train,test,test,train,train
1271,train,train,test,test,train
1272,test,test,test,train,test
1273,test,test,test,test,train
1286,train,train,train,train,train
1293,test,train,train,train,train
1297,train,train,train,train,train
1299,test,train,train,train,test
1301,train,train,train,train,test
1302,train,test,train,train,train
1303,train,test,test,train,test
1304,test,train,train,train,train
1312,test,train,train,train,train
1316,train,train,train,train,train
1317,train,train,train,train,test
1318,test,train,train,train,train
1319,test,train,test,test,train
1320,test,train,train,test,train
1325,train,test,train,train,test
1326,train,train,train,train,train
1334,test,test,test,train,test
1338,train,train,train,train,test
1342,train,train,train,test,train
1345,train,test,train,train,train
1347,train,train,train,train,train
1348,train,train,train,train,train
1350,test,train,train,test,train
1356,train,train,train,test,train
1357,test,test,train,train,train
1360,train,train,train,train,train
1363,train,train,train,train,train
1370,train,train,train,train,train
1376,train,train,test,train,test
1384,train,train,train,train,test
1385,train,test,train,test,test
1391,train,test,test,test,train
1394,test,train,test,train,train
1400,train,train,train,test,test
1401,test,train,train,train,train
1405,test,test,train,train,test
1412,train,train,test,test,train
1415,train,train,train,train,train
1427,test,test,train,train,train
1430,train,train,train,train,train
1443,train,train,train,train,train
1445,test,test,train,train,train
1454,test,train,test,train,train
1460,test,test,train,train,train
1476,train,train,train,train,train
1478,train,train,train,test,train
1480,train,train,train,train,train
1482,test,test,test,train,test
1487,train,train,train,test,train
1488,train,train,train,test,train
1491,train,train,train,train,test
1492,test,train,train,train,test
1493,train,test,test,test,test
1495,train,train,test,train,test
1503,train,test,train,train,train
1515,train,train,test,train,train
1516,test,train,test,test,train
1522,test,test,train,train,train
1528,train,train,train,test,train
1530,train,test,train,train,train
1539,test,train,train,train,train
1541,test,train,train,train,train
1542,test,train,train,train,train
1556,train,train,train,test,test
1563,train,train,test,train,train
1569,train,test,train,train,train
1575,train,train,train,test,train
1589,train,train,train,train,train
1598,train,train,test,train,train
1607,train,train,train,train,train
1608,test,train,train,test,test
1610,train,train,train,train,train
1611,train,train,train,train,train
1612,train,train,train,train,train
1614,test,train,test,train,test
1618,train,train,train,train,test
1622,train,test,test,test,train
1624,train,train,train,test,train
1628,test,train,train,train,train
1630,train,test,test,train,train
1635,train,train,train,train,train
1641,train,train,train,test,train
1643,train,train,train,train,train
1645,train,train,train,test,train
1668,train,train,train,train,train
1674,test,train,train,test,train
1678,train,train,test,train,train
1682,train,test,train,test,test
1683,train,test,train,test,test
1685,test,test,test,train,test
1687,test,train,train,train,train
1688,test,train,train,train,train
1698,train,test,train,test,train
1701,test,train,train,train,train
1721,train,train,train,train,train
1727,test,test,train,test,train
1728,train,train,train,train,train
1735,train,train,test,train,train
1748,train,test,test,train,train
1751,train,train,train,train,test
1756,train,test,train,test,train
1770,train,train,test,train,train
1774,train,train,train,train,train
1775,test,train,train,train,train
1779,train,train,train,train,test
1782,test,train,train,test,train
1784,train,test,train,train,test
1787,test,train,test,train,test
1789,test,train,train,test,train
1791,test,train,test,train,train
1795,test,train,train,test,test
1796,train,test,test,train,test
1800,train,train,train,train,test
1804,test,train,train,train,train
1805,train,train,train,test,train
1806,test,train,train,train,train
1809,train,train,train,train,train
1815,train,train,test,test,train
1816,test,train,train,train,train
1817,test,train,train,train,train
1819,train,train,test,train,train
1823,train,train,train,train,train
1826,test,train,train,train,train
1833,train,train,train,train,train
1837,train,train,test,train,test
1839,train,test,train,train,train
1845,train,train,train,train,train
1847,train,train,train,train,train
1849,train,train,test,train,train
1851,train,train,train,train,train
1852,train,train,train,test,train
1854,test,test,train,train,test
1859,train,test,test,train,test
1860,test,train,test,train,train
1861,train,test,train,train,train
1868,train,test,train,train,train
1869,train,train,test,test,train
1870,train,test,train,train,test
1877,train,train,train,train,test
1881,train,test,train,train,train
1883,train,train,train,train,train
1891,test,train,train,train,train
1892,test,train,test,train,train
1895,train,train,train,test,test
1896,train,train,train,train,train
1903,test,train,train,train,train
1907,train,train,train,test,train
1918,train,train,train,test,train
1919,train,train,train,train,train
1921,train,train,train,train,train
1926,train,train,train,train,train
1930,test,train,train,train,train
1931,train,train,train,train,train
1940,train,test,train,train,train
1943,train,test,train,train,train
1949,train,train,train,train,train
1951,train,train,test,test,train
1957,train,train,train,train,train
1960,test,test,train,test,train
1962,train,train,train,train,test
1963,train,train,train,train,train
1967,test,train,train,test,train
1968,train,train,train,train,train
1970,train,train,train,test,train
1975,train,test,train,train,train
1978,train,train,train,train,test
1979,test,train,test,train,train
1981,train,train,train,train,test
1989,train,test,train,train,train
1991,train,test,train,test,train
1994,test,train,test,train,train
1998,train,train,test,train,train
2004,train,test,train,train,test
2009,test,test,train,train,test
2010,test,train,train,test,train
2011,train,train,train,test,train
2014,train,train,train,train,train
2015,test,train,test,train,train
2016,train,test,train,train,train
2019,train,train,test,test,test
2023,train,test,train,test,train
2027,train,train,train,test,test
2028,train,train,test,test,test
2032,train,test,train,train,test
2044,train,train,train,test,train
2045,train,train,train,train,train
2048,test,test,train,train,train
2050,train,test,test,train,train
2051,train,test,train,train,train
2052,train,test,train,test,train
2053,train,train,train,train,train
2055,train,test,test,train,train
2056,train,train,test,train,train
2060,test,train,train,train,train
2061,test,train,train,train,train
2066,train,train,train,test,test
2071,train,train,train,train,train
2075,train,test,train,train,train
2081,train,test,train,test,train
2086,test,train,train,train,test
2088,train,train,train,train,train
2089,train,train,train,train,test
2092,train,test,train,train,test
2097,test,train,train,train,train
2100,train,train,test,train,train
2102,train,test,train,train,test
2104,train,test,train,train,train
2107,test,train,train,train,train
2109,train,train,test,train,test
2113,train,train,test,train,train
2115,train,test,train,train,train
2122,train,test,train,train,test
2123,test,train,train,train,train
2124,test,train,train,train,train
2136,test,test,train,test,test
2142,test,train,train,train,train
2144,train,train,test,train,train
2147,train,train,train,train,train
2149,train,train,train,train,train
2155,train,train,train,test,train
2161,train,test,train,train,train
2172,train,test,test,train,test
2179,test,train,train,train,test
2187,test,train,test,train,train
2192,train,test,train,test,train
2195,train,train,train,train,train
2201,train,train,train,train,train
2203,train,train,train,test,test
2208,test,test,train,test,train
2213,test,train,train,train,train
2219,train,train,train,train,train
2223,train,test,train,train,test
2224,train,train,train,test,test
2226,test,train,test,train,train
2228,train,train,train,train,train
2229,train,train,train,train,train
2230,train,test,train,train,train
2231,train,test,train,train,test
2232,test,test,test,test,train
2233,train,train,train,train,train
2243,test,train,test,train,test
2245,train,train,train,train,test
2246,train,test,train,test,test
2248,train,test,train,train,train
2251,train,train,train,train,test
2256,train,test,test,test,train
2265,test,train,test,test,train
2269,train,train,test,train,train
2270,train,test,test,train,train
2277,train,test,train,test,train
2283,test,train,train,test,train
2287,train,test,test,test,test
2288,train,train,train,train,train
2289,train,train,train,train,train
2290,train,train,train,train,train
2293,test,train,train,train,test
2296,train,train,train,test,train
2297,train,train,train,train,train
2298,train,train,train,test,test
2306,train,train,test,test,train
2307,train,train,test,train,test
2308,train,train,train,test,test
2311,test,train,train,train,train
2312,train,train,train,train,train
2319,test,train,train,train,train
2322,train,test,train,train,test
2324,train,test,test,test,train
2325,train,train,test,train,test
2330,train,train,train,test,train
2335,train,train,train,train,train
2336,test,test,test,test,train
2337,train,train,test,train,train
2338,train,train,train,train,train
2340,train,train,train,test,train
2341,train,test,test,train,train
2343,train,train,train,train,test
2345,test,train,train,test,test
2349,test,test,train,train,train
2350,test,train,test,test,train
2367,test,train,test,train,train
2375,train,train,test,train,train
2376,train,train,train,train,train
2377,test,train,train,test,train
2379,train,test,test,test,test
2383,train,train,train,train,train
2388,train,train,train,test,train
2393,train,train,train,test,train
2395,train,train,train,train,train
2399,train,train,train,train,test
2403,test,test,train,train,train
2409,train,test,test,train,train
2413,train,train,test,test,train
2415,train,train,train,test,train
2418,train,train,test,train,test
2419,train,train,test,train,train
2420,test,train,train,train,train
2423,train,train,test,test,test
2429,test,train,test,test,train
2430,train,test,train,test,train
2445,train,train,train,train,test
2450,test,test,train,train,test
2453,test,train,test,train,test
2462,test,train,train,train,train
2464,train,test,train,test,test
2465,train,train,test,train,train
2471,train,train,train,test,train
2476,test,test,train,train,train
2478,train,test,test,test,train
2479,test,train,train,test,train
2483,train,train,train,train,train
2484,test,train,train,test,test
2487,test,test,train,test,train
2491,train,train,train,train,train
2496,train,test,train,train,train
2506,test,train,train,train,train
2507,train,train,train,train,train
2508,test,train,train,train,train
2512,train,train,test,test,train
2514,train,train,train,test,train
2515,train,train,train,train,train
2520,train,train,train,train,train
2523,train,train,train,train,train
2529,train,test,train,train,test
2535,test,train,test,test,test
2536,test,test,train,train,train
2540,train,train,train,train,train
2541,train,train,test,train,train
2542,train,train,test,test,train
2545,train,train,train,test,test
2556,train,test,train,train,train
2558,train,train,train,train,train
2560,train,train,test,train,train
2567,test,train,train,train,train
2568,train,test,train,test,test
2575,test,train,test,test,test
2578,train,train,train,test,train
2586,train,test,test,test,train
2592,test,test,test,train,test
2593,train,train,train,train,train
2597,train,train,train,test,train
2598,train,train,train,train,train
2600,train,train,train,train,train
2608,train,train,test,train,train
2609,train,train,test,train,train
2612,train,test,test,train,train
2615,train,test,train,train,test
2619,test,test,train,test,train
2620,test,test,train,test,train
2622,train,test,test,test,train
2626,train,test,train,test,train
2627,test,train,test,test,train
2631,test,train,train,test,test
2636,train,train,train,train,train
2638,test,train,train,train,test
2640,train,train,test,train,test
2643,train,train,train,test,test
2644,test,train,train,test,train
2651,test,test,test,train,train
2657,train,train,test,test,train
2658,train,test,train,test,train
2661,train,train,train,test,test
2666,train,test,test,train,test
2673,test,train,test,test,train
2686,train,train,test,train,train
2697,train,train,test,train,train
2703,train,test,test,test,train
2705,train,train,train,train,train
2706,train,test,train,train,train
2707,train,train,test,train,test
2715,train,train,train,test,train
2719,train,train,test,train,train
2722,train,train,train,train,train
2723,test,train,train,train,train
2724,test,train,test,test,train
2727,test,test,test,train,test
2729,test,train,train,train,test
2730,train,train,train,train,train
2739,train,test,train,train,train
2743,train,train,train,train,train
2744,train,train,train,train,test
2748,train,train,train,train,test
2754,train,train,test,train,train
2756,train,train,test,train,train
2758,train,test,train,test,train
2768,train,train,train,train,train
2769,train,train,test,train,test
2772,train,test,test,test,train
2774,train,train,train,test,train
2777,train,test,train,test,train
2778,train,train,train,test,train
2780,train,train,test,train,train
2787,test,train,train,train,train
2789,train,test,train,test,test
2791,test,train,train,train,train
2796,train,train,test,test,train
2799,train,train,train,train,test
2801,test,train,train,test,test
2816,test,train,train,train,test
2822,train,test,train,test,train
2824,train,train,train,test,train
2826,train,test,train,test,train
2828,test,test,train,train,test
2836,train,train,train,train,test
2841,test,train,test,train,train
2846,test,test,train,train,train
2847,train,test,test,train,train
2849,train,train,train,train,test
2852,test,train,test,train,train
2854,test,train,train,train,train
2856,train,train,train,test,test
2857,test,train,train,test,train
2859,train,test,train,train,train
2860,train,train,test,train,train
2861,train,test,test,test,train
2864,train,test,train,test,train
2865,test,train,train,train,train
2868,train,train,train,train,train
2881,test,train,train,train,train
2889,test,test,test,train,train
2890,test,test,test,train,train
2900,train,test,train,train,test
2903,train,train,train,train,train
2904,train,train,train,train,test
2917,train,train,train,train,test
2923,train,test,train,train,test
2933,test,train,train,test,train
2936,train,train,test,train,train
2938,train,train,train,train,test
2940,train,test,train,train,train
2942,train,train,train,train,train
2949,train,test,train,train,train
2950,train,test,train,train,train
2954,train,test,train,train,train
2955,train,train,train,train,test
2956,train,test,test,test,train
2960,train,train,train,train,test
2971,test,test,test,train,train
2972,train,train,train,train,train
2976,train,train,test,test,test
2977,train,train,train,test,test
2981,train,train,train,train,test
2985,train,train,train,train,train
3006,test,train,train,train,train
3009,train,train,train,train,train
3011,test,train,test,test,test
3013,test,train,train,train,test
3015,train,test,train,train,train
3031,test,train,train,test,train
3037,train,train,test,train,train
3038,train,test,train,train,train
3039,test,train,train,test,test
3040,train,train,train,test,train
3042,test,train,test,train,train
3046,train,test,train,train,train
3048,test,train,test,test,train
3058,train,train,train,test,test
3062,train,train,test,test,test
3063,train,train,test,train,test
3071,train,train,train,test,train
3072,train,test,test,train,train
3084,test,train,train,train,test
3086,train,test,train,train,train
3094,train,train,train,train,train
3096,test,train,train,train,train
3098,train,train,train,test,train
3099,train,test,train,train,train
3102,train,train,train,train,train
3106,test,train,test,test,train
3107,test,test,train,train,train
3110,test,train,test,test,test
3114,train,test,train,train,train
3118,train,train,train,train,train
3127,train,test,train,train,test
3134,train,test,train,test,train
3138,train,train,test,train,test
3141,train,train,train,train,train
3145,train,train,train,train,test
3149,train,train,train,test,train
3156,test,train,train,train,test
3165,train,train,train,test,train
3175,train,test,test,test,test
3179,train,train,test,test,train
3180,train,train,test,train,test
3183,train,train,train,test,train
3187,train,train,train,train,test
3188,train,train,test,test,train
3189,test,train,train,train,train
3191,train,test,test,train,train
3195,test,train,train,train,train
3196,train,train,train,train,train
3198,train,test,test,test,test
3199,train,train,test,train,train
3201,test,test,test,train,train
3208,train,train,train,train,train
3212,train,train,train,train,train
3217,train,train,train,train,train
3220,test,train,train,train,train
3226,train,train,train,train,train
3227,test,train,train,test,train
3230,train,test,train,train,train
3237,test,train,test,train,train
3259,train,train,train,train,train
3261,test,train,test,train,test
3266,train,train,train,train,train
3270,train,train,train,test,test
3274,train,train,test,train,train
3303,test,train,train,train,train
3308,train,train,train,train,train
3313,train,train,train,train,train
3317,train,train,train,train,test
3318,test,test,train,train,train
3325,train,test,test,train,train
3328,test,test,train,train,train
3331,train,test,train,train,train
3332,test,train,train,train,test
3337,train,train,train,test,test
3340,train,test,train,test,test
3342,test,train,train,train,test
3344,test,train,train,train,train
3347,train,train,test,train,train
3349,train,train,train,train,train
3350,train,test,train,test,train
3356,train,train,test,train,test
3358,test,test,train,train,train
3359,test,train,test,train,train
3361,test,test,train,train,train
3362,train,train,train,train,train
3366,test,train,train,test,train
3372,train,test,train,train,train
3373,test,train,train,train,test
3374,test,train,train,train,test
3383,train,test,train,train,train
3387,train,train,train,test,train
3388,train,train,train,test,test
3389,train,train,test,train,test
3394,test,test,train,train,train
3402,train,train,test,train,train
3405,train,test,train,test,test
3410,test,test,train,test,train
3415,train,train,train,test,train
3418,train,train,train,train,test
3419,train,train,test,test,test
3420,train,train,train,train,test
3421,train,train,train,train,train
3422,test,train,train,test,train
3434,test,train,train,train,train
3441,train,train,train,train,train
3443,test,train,train,train,train
3448,test,train,train,train,test
3451,train,test,test,train,test
3453,train,test,test,train,test
3462,train,train,train,train,test
3466,train,train,train,train,test
3469,train,train,train,train,test
3472,test,train,train,train,train
3475,train,test,test,train,train
3476,train,train,test,test,train
3480,train,test,train,train,train
3483,train,test,train,train,train
3484,train,test,test,train,train
3486,train,train,train,train,train
3498,test,train,train,train,test
3509,train,train,test,train,train
3510,train,test,test,test,train
3511,test,train,train,train,test
3513,test,train,train,train,train
3516,train,test,train,test,train
3518,test,test,test,test,train
3521,train,train,train,test,train
3525,test,train,train,test,train
3530,train,test,train,train,train
3533,train,test,test,train,test
3535,train,test,train,train,train
3539,test,train,train,test,train
3542,train,train,train,train,train
3543,train,train,test,test,train
3544,train,train,train,train,train
3548,train,train,test,train,test
3552,test,train,test,train,test
3554,train,train,train,train,train
3561,train,test,train,train,test
3564,train,test,train,train,test
3571,train,train,test,train,test
3574,test,train,train,test,train
3575,train,train,test,test,test
3582,train,train,test,test,train
3588,test,train,test,train,test
3590,test,train,test,train,train
3591,test,train,train,train,test
3595,test,train,test,train,train
3596,train,train,train,test,test
3600,train,train,train,train,test
3601,train,train,train,train,train
3603,train,train,train,train,test
3604,test,train,train,test,train
3607,train,train,train,train,test
3608,train,train,test,train,test
3611,train,train,test,train,train
3613,train,train,train,test,train
3617,train,train,train,train,train
3619,test,test,test,test,train
3632,train,train,test,test,train
3636,train,train,train,train,train
3640,train,train,test,test,test
3642,test,train,train,train,train
3648,test,test,train,train,train
3649,train,train,train,test,train
3650,test,train,train,test,train
3651,train,train,train,train,train
3653,train,test,train,train,train
3654,train,train,train,train,train
3655,train,train,train,train,train
3658,train,train,train,train,train
3667,test,train,test,train,train
3669,test,test,train,train,train
3670,train,train,test,test,train
3678,test,train,train,train,test
3684,train,test,train,train,train
3687,train,train,train,train,test
3689,train,test,train,train,test
3692,train,train,train,train,test
3699,train,test,train,train,train
3700,test,train,train,test,train
3702,train,test,test,train,train
3703,train,train,train,train,train
3706,train,train,train,test,train
3707,train,train,train,test,train
3710,train,train,train,train,train
3711,train,test,test,train,train
3713,train,train,train,train,train
3714,test,test,train,test,test
3715,train,train,train,train,train
3723,train,train,train,train,test
3733,test,test,train,test,train
3739,train,train,train,train,train
3752,train,test,train,train,test
3753,test,train,train,train,test
3756,train,train,train,train,test
3760,train,train,train,train,train
3767,train,test,train,train,train
3771,train,train,test,train,test
3773,train,train,test,test,train
3779,train,test,train,train,test
3780,train,test,train,train,test
3783,train,test,test,train,train
3795,train,train,test,train,test
3796,test,train,test,train,test
3797,test,train,train,train,test
3798,train,train,test,train,train
3800,train,test,train,test,test
3805,train,test,train,train,train
3806,train,train,test,test,train
3808,train,train,test,train,test
3811,test,train,test,train,train
3820,test,train,train,train,train
3822,train,test,train,test,train
3823,train,train,test,train,train
3824,train,train,train,test,train
3826,train,train,train,test,test
3833,train,train,train,train,train
3835,train,train,train,test,train
3839,train,train,train,train,train
3844,train,test,test,train,train
3845,train,train,train,test,train
3847,test,train,train,test,test
3850,train,train,train,test,train
3851,test,test,test,test,test
3858,train,train,test,test,test
3861,test,train,train,test,train
3863,train,train,test,train,test
3865,train,train,train,train,train
3867,test,train,train,train,train
3870,train,train,train,train,train
3884,train,test,train,test,test
3886,test,train,train,train,train
3887,train,train,train,test,test
3889,test,train,train,test,test
3890,test,test,train,train,train
3892,train,train,train,train,train
3897,train,train,train,train,test
3906,train,train,train,train,test
3909,test,train,train,train,train
3915,train,train,train,test,train
3917,test,test,train,train,test
3920,test,train,train,train,train
3926,test,test,train,test,train
3927,train,train,train,test,test
3930,test,train,test,train,test
3931,train,train,train,test,train
3933,train,test,train,test,train
3935,train,train,test,test,test
3936,test,test,test,test,train
3943,train,test,train,train,train
3949,train,test,test,train,train
3953,train,test,train,test,train
3955,test,train,test,test,test
3957,train,test,train,test,train
3960,train,test,train,train,train
3966,test,train,train,train,train
3969,train,test,test,train,train
3973,train,test,train,test,train
3974,train,train,train,test,train
3981,test,test,train,train,test
3982,train,test,train,train,train
3986,test,test,train,train,train
3988,train,train,train,train,train
3994,train,train,test,train,train
4002,test,train,train,train,train
4004,train,train,train,train,train
4024,train,train,train,test,train
4028,train,train,train,train,test
4031,train,train,train,train,train
4033,train,train,train,train,test
4039,test,test,test,train,train
4041,train,train,train,train,test
4047,train,train,train,train,train
4048,train,train,train,train,test
4050,test,test,train,train,train
4051,train,test,train,train,train
4057,test,train,train,train,test
4059,train,train,train,train,test
4062,test,train,train,test,train
4067,train,train,train,train,test
4075,train,train,test,test,test
4078,train,train,test,train,test
4080,train,train,test,train,test
4083,train,train,train,train,train
4089,test,train,train,test,train
4092,train,train,test,train,test
4096,test,test,test,train,test
4097,train,test,test,train,train
4101,train,test,test,test,train
4102,train,test,train,train,train
4109,train,test,train,train,train
4116,train,test,train,test,train
4123,train,train,test,test,train
4126,train,test,test,train,train
4130,train,train,train,train,test
4138,train,test,train,train,train
4139,train,train,train,train,test
4150,train,test,train,train,train
4155,train,train,train,train,train
4157,train,train,train,train,test
4163,train,train,train,train,train
4164,train,train,train,test,train
4170,test,train,train,train,train
4179,test,test,test,train,train
4180,train,test,train,train,test
4181,train,train,train,train,train
4191,test,test,test,train,train
4195,train,test,train,test,train
4200,train,train,test,test,train
4208,test,train,test,train,test
4216,test,train,test,test,test
4220,test,train,test,train,train
4221,train,train,test,test,train
4222,train,train,train,train,train
4225,train,train,test,test,train
4235,train,train,train,train,test
4237,train,train,train,train,train
4239,train,train,train,train,train
4240,train,test,train,test,test
4241,train,train,train,train,train
4244,train,test,train,train,test
4249,train,train,train,train,train
4254,test,test,test,train,train
4255,train,train,train,train,train
4258,train,train,train,test,train
4262,train,test,test,test,test
4268,train,train,train,train,train
4270,test,test,train,train,train
4278,train,train,train,train,train
4285,train,train,train,train,train
